time,open,high,low,close,EMA,SMMA,Volume,Bollinger Bars Wicks (Open),Bollinger Bars Wicks (High,Bollinger Bars Wicks (Low),Bollinger Bars Wicks (Close),Bollinger Bars Body (Open),Bollinger Bars Body (High,Bollinger Bars Body (Low),Bollinger Bars Body (Close),RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,OnBalanceVolume,ATR
1727902800,4.52,4.58,4.52,4.58,4.5093111743940435,4.483876119492239,23609,4.58,4.58,4.52,4.52,4.52,4.58,4.52,4.58,63.87269297260047,61.15786811557532,NaN,NaN,NaN,NaN,0.009438091632110492,0.06941547394317915,0.05997738231106866,-13348953,0.07632205918544191
1727989200,4.6,4.6,4.6,4.6,4.527448939515235,4.500465245279061,28244,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,65.06244171396179,62.20654418996873,NaN,NaN,NaN,NaN,0.01044805349124428,0.073037449175124,0.06258939568387972,-13320709,0.07229905495791031
1728248400,4.57,4.61,4.57,4.6,4.541959151612188,4.514684495953481,29749,4.61,4.61,4.57,4.57,4.57,4.61,4.57,4.6,65.06244171396179,63.38019214018997,NaN,NaN,NaN,NaN,0.009962758216549392,0.07504284345456647,0.06508008523801707,-13320709,0.06999197960377386
1728334800,4.6,4.64,4.6,4.64,4.5615673212897505,4.532586710817269,16489,4.64,4.64,4.6,4.6,4.6,4.64,4.6,4.64,67.54182210789429,63.845888263671654,NaN,NaN,NaN,NaN,0.011095704129999398,0.07894971540051632,0.06785401127051692,-13304220,0.06784969534636144
1728421200,4.63,4.78,4.63,4.74,4.5972538570318005,4.562217180700516,22567,4.78,4.78,4.63,4.63,4.63,4.78,4.63,4.74,72.7485503873406,64.38022484314035,NaN,NaN,NaN,NaN,0.016987311847667025,0.08908815108010071,0.07210083923243368,-13281653,0.07371757425019279
1728507600,4.7,4.74,4.7,4.7,4.61780308562544,4.581900440600442,17323,4.74,4.74,4.7,4.7,4.7,4.74,4.7,4.7,68.0464598377169,64.57869781192166,NaN,NaN,NaN,NaN,0.016579518327285506,0.09282523714154056,0.07624571881425506,-13298976,0.07130917608946473
1728594000,4.7,4.7,4.6,4.6,4.614242468500352,4.584486091943236,14884,4.7,4.7,4.6,4.6,4.7,4.7,4.6,4.6,57.96037685485555,63.71840326785154,NaN,NaN,NaN,NaN,0.008377911455742529,0.08671810813393321,0.07834019667819068,-13313860,0.073358520654503
1728853200,4.65,4.65,4.6,4.6,4.611393974800282,4.586702364522774,5238,4.65,4.65,4.6,4.6,4.65,4.65,4.6,4.6,57.96037685485554,62.93048416499239,NaN,NaN,NaN,NaN,0.0020839065785475397,0.08094507990137512,0.07886117332282758,-13313860,0.07169005489346714
1728939600,4.6,4.6,4.59,4.6,4.6091151798402255,4.588602026733805,27352,4.6,4.6,4.59,4.59,4.6,4.6,4.59,4.6,57.96037685485554,62.29154970316763,NaN,NaN,NaN,NaN,-0.0026892578335922235,0.0754996010308373,0.07818885886442953,-13313860,0.06728362240107662
1729026000,4.51,4.6,4.5,4.5,4.5872921438721805,4.5759445943432615,120890,4.6,4.6,4.5,4.5,4.51,4.6,4.5,4.5,48.906446315925386,61.1565941103875,NaN,NaN,NaN,NaN,-0.012634608759230503,0.0623955979153914,0.0750302066746219,-13434750,0.06962050651528541
1729112400,4.6,4.61,4.5,4.58,4.585833715097745,4.576523938008509,28245,4.61,4.61,4.5,4.5,4.6,4.61,4.5,4.58,54.96699022461702,61.12629301679038,NaN,NaN,NaN,NaN,-0.013784457943929324,0.05779963424471024,0.07158409218863956,-13406505,0.07250475604990791
1729198800,4.56,4.58,4.49,4.5,4.568666972078196,4.565591946864436,48044,4.58,4.58,4.49,4.49,4.56,4.58,4.49,4.5,48.74079436460148,60.65126364747787,NaN,NaN,NaN,NaN,-0.019540588683157334,0.0471583563346929,0.06669894501785023,-13454549,0.07375441633205734
1729458000,4.5,4.55,4.49,4.55,4.564933577662557,4.563364525883802,46485,4.55,4.55,4.49,4.49,4.5,4.55,4.49,4.55,52.37197687152376,60.18824388887448,NaN,NaN,NaN,NaN,-0.019541268326795966,0.04227235960935527,0.061813627936151236,-13408064,0.07277195802262464
